task,seed,direction,alpha,score,criterion,distance_from_naive,distance_from_trained
conditioned_electrode_association,5,axis,0.0,1.0,0.4,58.47179719223353,0.0
conditioned_electrode_association,5,random,0.0,1.0,0.4,58.47179719223353,0.0
conditioned_electrode_association,5,axis,0.0667,1.0,0.4,54.571728319511564,3.9000688727219757
conditioned_electrode_association,5,random,0.0667,1.0,0.4,58.410682330846306,3.892775891334456
conditioned_electrode_association,5,axis,0.1333,1.0,0.4,50.6775066265088,7.7942905657247294
conditioned_electrode_association,5,random,0.1333,1.0,0.4,58.60339363740574,7.778728752562051
conditioned_electrode_association,5,axis,0.2,1.0,0.4,46.77743775378682,11.694359438446705
conditioned_electrode_association,5,random,0.2,1.0,0.4,59.047953298798795,11.669866339980484
conditioned_electrode_association,5,axis,0.2667,1.0,0.4,42.87736888106485,15.59442831116868
conditioned_electrode_association,5,random,0.2667,1.0,0.4,59.739343929095256,15.560682463538496
conditioned_electrode_association,5,axis,0.3333,1.0,0.4,38.98314718806209,19.488650004171433
conditioned_electrode_association,5,random,0.3333,1.0,0.4,60.66899702192885,19.445481548745338
conditioned_electrode_association,5,axis,0.4,1.0,0.4,35.08307831534012,23.38871887689341
conditioned_electrode_association,5,random,0.4,1.0,0.4,61.82810381056385,23.333624015470054
conditioned_electrode_association,5,axis,0.4667,1.0,0.4,31.18300944261814,27.288787749615388
conditioned_electrode_association,5,random,0.4667,1.0,0.4,63.19997814925404,27.212396277107313
conditioned_electrode_association,5,axis,0.5333,1.0,0.4,27.288787749615388,31.18300944261814
conditioned_electrode_association,5,random,0.5333,1.0,0.4,64.7632496896305,31.068194258670722
conditioned_electrode_association,5,axis,0.6,1.0,0.4,23.38871887689341,35.08307831534011
conditioned_electrode_association,5,random,0.6,1.0,0.4,66.49953212267062,34.900837201175726
conditioned_electrode_association,5,axis,0.6667,0.0,0.4,19.488650004171436,38.98314718806209
conditioned_electrode_association,5,random,0.6667,1.0,0.4,68.38515535973369,38.697706575675944
conditioned_electrode_association,5,axis,0.7333,0.0,0.4,15.594428311168686,42.87736888106484
conditioned_electrode_association,5,random,0.7333,1.0,0.4,70.39643615434841,42.448427287924034
conditioned_electrode_association,5,axis,0.8,0.0,0.4,11.694359438446702,46.77743775378682
conditioned_electrode_association,5,random,0.8,1.0,0.4,72.51958578514716,46.159724489570365
conditioned_electrode_association,5,axis,0.8667,0.0,0.4,7.794290565724728,50.6775066265088
conditioned_electrode_association,5,random,0.8667,1.0,0.4,74.73355010461003,49.82281102580431
conditioned_electrode_association,5,axis,0.9333,0.0,0.4,3.900068872721975,54.571728319511564
conditioned_electrode_association,5,random,0.9333,1.0,0.4,77.0178269040635,53.429068573554964
conditioned_electrode_association,5,axis,1.0,0.0,0.4,2.960233309548746e-15,58.47179719223353
conditioned_electrode_association,5,random,1.0,1.0,0.4,79.36679835604018,56.99017345128881
conditioned_electrode_association,6,axis,0.0,1.0,0.4,63.06796838108899,0.0
conditioned_electrode_association,6,random,0.0,1.0,0.4,63.06796838108899,0.0
conditioned_electrode_association,6,axis,0.0667,1.0,0.4,58.86133489007036,4.206633491018636
conditioned_electrode_association,6,random,0.0667,1.0,0.4,62.98590673270919,4.197091177135905
conditioned_electrode_association,6,axis,0.1333,1.0,0.4,54.661008195889835,8.406960185199164
conditioned_electrode_association,6,random,0.1333,1.0,0.4,63.1763314623454,8.386109144267444
conditioned_electrode_association,6,axis,0.2,1.0,0.4,50.45437470487119,12.6135936762178
conditioned_electrode_association,6,random,0.2,1.0,0.4,63.63630825038621,12.580594994309063
conditioned_electrode_association,6,axis,0.2667,1.0,0.4,46.24774121385255,16.820227167236432
conditioned_electrode_association,6,random,0.2667,1.0,0.4,64.36229999126427,16.77480454354569
conditioned_electrode_association,6,axis,0.3333,1.0,0.4,42.04741451967203,21.02055386141696
conditioned_electrode_association,6,random,0.3333,1.0,0.4,65.34540418017507,20.961827559749622
conditioned_electrode_association,6,axis,0.4,1.0,0.4,37.840781028653396,25.227187352435596
conditioned_electrode_association,6,random,0.4,1.0,0.4,66.57531857321244,25.15014013418651
conditioned_electrode_association,6,axis,0.4667,1.0,0.4,33.63414753763476,29.433820843454228
conditioned_electrode_association,6,random,0.4667,1.0,0.4,68.03253549368983,29.323178099690935
conditioned_electrode_association,6,axis,0.5333,1.0,0.4,29.433820843454228,33.63414753763476
