probe,condition,protocol_id,seed,duration_s,current_uA,schedule,spatial_mode,initial_trials,initial_response_probability,trained_delta_norm,consolidation_s,consolidation_weight_change_norm,homeostasis_rate,homeostasis_interval_ms,weight_erasure_reset,weight_erasure_no_reset,weight_erasure_delta,path_erasure_reset,path_erasure_no_reset,path_erasure_delta,post_behavior_reset,post_behavior_no_reset,post_behavior_delta,post_delta_norm_reset,post_delta_norm_no_reset,post_delta_norm_delta,post_minus_trained_norm_reset,post_minus_trained_norm_no_reset,post_minus_trained_norm_delta,residual_trace_correlation_reset,residual_trace_correlation_no_reset,residual_trace_correlation_delta,reset_window_neuron_spikes_reset,reset_window_neuron_spikes_no_reset,reset_window_neuron_spikes_delta,post_readout_neuron_spikes_reset,post_readout_neuron_spikes_no_reset,post_readout_neuron_spikes_delta
homeostasis_sweep,default_homeostasis,low_burden_0.75s,1,0.75,0.8,epoch_pause,independent,16,0.875,22.18569381061725,0.0,0.0,0.012,100.0,-0.7451153121457621,-0.7451153121457621,0.0,-0.7451323700117405,-0.7451323700117405,0.0,0.5,0.5,0.0,38.71659398123074,38.71659398123074,0.0,16.531742720195066,16.531742720195066,0.0,0.9999428445471674,0.9999428445471674,0.0,923,923,0,1888,1888,0
homeostasis_sweep,default_homeostasis,mid_burden_1.5s,1,1.5,0.8,static,shared,16,0.875,22.18569381061725,0.0,0.0,0.012,100.0,-1.4539839688671474,-1.4539839688671474,0.0,-1.4540403775603012,-1.4540403775603012,0.0,0.75,0.75,0.0,54.44333695190381,54.44333695190381,0.0,32.258496258444545,32.258496258444545,0.0,0.9999196922190545,0.9999196922190545,0.0,1877,1877,0,1818,1818,0
homeostasis_sweep,default_homeostasis,high_burden_3s,1,3.0,2.6,static,shared,16,0.875,22.18569381061725,0.0,0.0,0.012,100.0,-3.1772387082042206,-3.1772387082042206,0.0,-3.1770903763161655,-3.1770903763161655,0.0,0.25,0.25,0.0,92.67493895825442,92.67493895825442,0.0,70.49006199900246,70.49006199900246,0.0,0.9999012892645086,0.9999012892645086,0.0,3695,3695,0,1779,1779,0
homeostasis_sweep,default_homeostasis,low_burden_0.75s,3,0.75,0.8,epoch_pause,independent,48,0.875,76.30150484186338,0.0,0.0,0.012,100.0,-0.283005806629385,-0.283005806629385,0.0,-0.28295140989844847,-0.28295140989844847,0.0,0.375,0.375,0.0,97.89527376795385,97.89527376795385,0.0,21.59447325614951,21.59447325614951,0.0,0.9999929873148385,0.9999929873148385,0.0,914,914,0,1733,1733,0
homeostasis_sweep,default_homeostasis,mid_burden_1.5s,3,1.5,0.8,static,shared,48,0.875,76.30150484186338,0.0,0.0,0.012,100.0,-0.5531200357587513,-0.5531200357587513,0.0,-0.5530099585186998,-0.5530099585186998,0.0,0.625,0.625,0.0,118.5053959299945,118.5053959299945,0.0,42.20455377150628,42.20455377150628,0.0,0.9999893473370773,0.9999893473370773,0.0,1742,1742,0,1796,1796,0
homeostasis_sweep,default_homeostasis,high_burden_3s,3,3.0,2.6,static,shared,48,0.875,76.30150484186338,0.0,0.0,0.012,100.0,-1.2101533788339753,-1.2101533788339753,0.0,-1.209915293686611,-1.209915293686611,0.0,0.75,0.75,0.0,168.63802873857142,168.63802873857142,0.0,92.33718532616301,92.33718532616301,0.0,0.9999836529884484,0.9999836529884484,0.0,3538,3538,0,1840,1840,0
homeostasis_sweep,default_homeostasis,low_burden_0.75s,4,0.75,0.8,epoch_pause,independent,48,0.875,76.75862005574685,0.0,0.0,0.012,100.0,-0.2836788897920244,-0.2836788897920244,0.0,-0.28366131155995067,-0.28366131155995067,0.0,0.625,0.625,0.0,98.5334201764126,98.5334201764126,0.0,21.775399777695032,21.775399777695032,0.0,0.9999939286387561,0.9999939286387561,0.0,827,827,0,1830,1830,0
homeostasis_sweep,default_homeostasis,mid_burden_1.5s,4,1.5,0.8,static,shared,48,0.875,76.75862005574685,0.0,0.0,0.012,100.0,-0.5538771967752436,-0.5538771967752436,0.0,-0.5540067895027045,-0.5540067895027045,0.0,0.625,0.625,0.0,119.27346936211379,119.27346936211379,0.0,42.51551536482054,42.51551536482054,0.0,0.9999891227107404,0.9999891227107404,0.0,1746,1746,0,1758,1758,0
homeostasis_sweep,default_homeostasis,high_burden_3s,4,3.0,2.6,static,shared,48,0.875,76.75862005574685,0.0,0.0,0.012,100.0,-1.210006800945031,-1.210006800945031,0.0,-1.21011318946463,-1.21011318946463,0.0,0.375,0.375,0.0,169.63707235656622,169.63707235656622,0.0,92.87913576941123,92.87913576941123,0.0,0.9999828555476095,0.9999828555476095,0.0,3504,3504,0,1826,1826,0
homeostasis_sweep,low_homeostasis_rate,low_burden_0.75s,1,0.75,0.8,epoch_pause,independent,16,0.875,5.291608413554905,0.0,0.0,0.003,100.0,-0.6842304584952441,-0.6842304584952441,0.0,-0.6846018143593349,-0.6846018143593349,0.0,0.5,0.5,0.0,8.9122880662231,8.9122880662231,0.0,3.6244203227855305,3.6244203227855305,0.0,0.9989902480501639,0.9989902480501639,0.0,923,923,0,1888,1888,0
homeostasis_sweep,low_homeostasis_rate,mid_burden_1.5s,1,1.5,0.8,static,shared,16,0.875,5.291608413554905,0.0,0.0,0.003,100.0,-1.2949660513247285,-1.2949660513247285,0.0,-1.2957532425411973,-1.2957532425411973,0.0,0.75,0.75,0.0,12.144061668307778,12.144061668307778,0.0,6.856241704053331,6.856241704053331,0.0,0.9985797516777524,0.9985797516777524,0.0,1877,1877,0,1818,1818,0
homeostasis_sweep,low_homeostasis_rate,high_burden_3s,1,3.0,2.6,static,shared,16,0.875,5.291608413554905,0.0,0.0,0.003,100.0,-2.646109510426173,-2.646109510426173,0.0,-2.646805454005249,-2.646805454005249,0.0,0.25,0.25,0.0,19.2937837657598,19.2937837657598,0.0,14.005797628654912,14.005797628654912,0.0,0.9982534844704892,0.9982534844704892,0.0,3695,3695,0,1779,1779,0
homeostasis_sweep,low_homeostasis_rate,low_burden_0.75s,3,0.75,0.8,epoch_pause,independent,48,0.875,16.332356310084663,0.0,0.0,0.003,100.0,-0.2360897792420078,-0.2360897792420078,0.0,-0.2358737688571495,-0.2358737688571495,0.0,0.375,0.375,0.0,20.188258707070453,20.188258707070453,0.0,3.859715036447828,3.859715036447828,0.0,0.999846535303741,0.999846535303741,0.0,914,914,0,1733,1733,0
homeostasis_sweep,low_homeostasis_rate,mid_burden_1.5s,3,1.5,0.8,static,shared,48,0.875,16.332356310084663,0.0,0.0,0.003,100.0,-0.44751607869432464,-0.44751607869432464,0.0,-0.4471019259040907,-0.4471019259040907,0.0,0.625,0.625,0.0,23.641348363259777,23.641348363259777,0.0,7.312567193978774,7.312567193978774,0.0,0.9997671167754931,0.9997671167754931,0.0,1742,1742,0,1796,1796,0
homeostasis_sweep,low_homeostasis_rate,high_burden_3s,3,3.0,2.6,static,shared,48,0.875,16.332356310084663,0.0,0.0,0.003,100.0,-0.9154318352949409,-0.9154318352949409,0.0,-0.9146011866043144,-0.9146011866043144,0.0,0.75,0.75,0.0,31.283515223631806,31.283515223631806,0.0,14.954751259461496,14.954751259461496,0.0,0.9996382877348323,0.9996382877348323,0.0,3538,3538,0,1840,1840,0
homeostasis_sweep,low_homeostasis_rate,low_burden_0.75s,4,0.75,0.8,epoch_pause,independent,48,0.875,16.42822818886822,0.0,0.0,0.003,100.0,-0.2366157538275484,-0.2366157538275484,0.0,-0.23658600842152966,-0.23658600842152966,0.0,0.625,0.625,0.0,20.315405787064872,20.315405787064872,0.0,3.8904346087247372,3.8904346087247372,0.0,0.9998667068477836,0.9998667068477836,0.0,827,827,0,1830,1830,0
homeostasis_sweep,low_homeostasis_rate,mid_burden_1.5s,4,1.5,0.8,static,shared,48,0.875,16.42822818886822,0.0,0.0,0.003,100.0,-0.44805230213338865,-0.44805230213338865,0.0,-0.4487324099422647,-0.4487324099422647,0.0,0.625,0.625,0.0,23.78893365031131,23.78893365031131,0.0,7.36434109811761,7.36434109811761,0.0,0.9997594250623001,0.9997594250623001,0.0,1746,1746,0,1758,1758,0
homeostasis_sweep,low_homeostasis_rate,high_burden_3s,4,3.0,2.6,static,shared,48,0.875,16.42822818886822,0.0,0.0,0.003,100.0,-0.9151695845289778,-0.9151695845289778,0.0,-0.9157434093019936,-0.9157434093019936,0.0,0.375,0.375,0.0,31.462842956937163,31.462842956937163,0.0,15.038335279645356,15.038335279645356,0.0,0.999619818477476,0.999619818477476,0.0,3504,3504,0,1826,1826,0
homeostasis_sweep,slow_homeostasis_interval,low_burden_0.75s,1,0.75,0.8,epoch_pause,independent,16,0.875,0.8893557168179625,0.0,0.0,0.003,1000.0,-0.4940240379883929,-0.4940240379883929,0.0,-0.5012868554748608,-0.5012868554748608,0.0,0.5,0.5,0.0,1.328718820742458,1.328718820742458,0.0,0.4669778526331794,0.4669778526331794,0.0,0.9663439434110075,0.9663439434110075,0.0,923,923,0,1888,1888,0
homeostasis_sweep,slow_homeostasis_interval,mid_burden_1.5s,1,1.5,0.8,static,shared,16,0.875,0.8893557168179625,0.0,0.0,0.003,1000.0,-0.9861297336411856,-0.9861297336411856,0.0,-1.0031157382167586,-1.0031157382167586,0.0,0.75,0.75,0.0,1.7663758349420553,1.7663758349420553,0.0,0.9033923454228913,0.9033923454228913,0.0,0.9522654092501069,0.9522654092501069,0.0,1877,1877,0,1818,1818,0
homeostasis_sweep,slow_homeostasis_interval,high_burden_3s,1,3.0,2.6,static,shared,16,0.875,0.8893557168179625,0.0,0.0,0.003,1000.0,-1.485443060016543,-1.485443060016543,0.0,-1.501128625349974,-1.501128625349974,0.0,0.25,0.25,0.0,2.2104429967366857,2.2104429967366857,0.0,1.3501982929192604,1.3501982929192604,0.0,0.9367596811638406,0.9367596811638406,0.0,3695,3695,0,1779,1779,0
homeostasis_sweep,slow_homeostasis_interval,low_burden_0.75s,3,0.75,0.8,epoch_pause,independent,48,0.875,2.628766249349202,0.0,0.0,0.003,1000.0,-0.16715904193183717,-0.16715904193183717,0.0,-0.16635070081888248,-0.16635070081888248,0.0,0.375,0.375,0.0,3.0681882982203224,3.0681882982203224,0.0,0.47045358598813775,0.47045358598813775,0.0,0.9942113884357876,0.9942113884357876,0.0,914,914,0,1733,1733,0
homeostasis_sweep,slow_homeostasis_interval,mid_burden_1.5s,3,1.5,0.8,static,shared,48,0.875,2.628766249349202,0.0,0.0,0.003,1000.0,-0.3344801300558169,-0.3344801300558169,0.0,-0.3335708143855496,-0.3335708143855496,0.0,0.625,0.625,0.0,3.508036327652345,3.508036327652345,0.0,0.9065773169764675,0.9065773169764675,0.0,0.9912434981282585,0.9912434981282585,0.0,1742,1742,0,1796,1796,0
homeostasis_sweep,slow_homeostasis_interval,high_burden_3s,3,3.0,2.6,static,shared,48,0.875,2.628766249349202,0.0,0.0,0.003,1000.0,-0.5040536134628937,-0.5040536134628937,0.0,-0.500014992677692,-0.500014992677692,0.0,0.75,0.75,0.0,3.953805377787019,3.953805377787019,0.0,1.3588932548643087,1.3588932548643087,0.0,0.9855238413603568,0.9855238413603568,0.0,3538,3538,0,1840,1840,0
